date,count
2017-12-01,223
2018-01-01,28
2018-02-01,5
2018-03-01,4
2018-04-01,3
2018-06-01,32
2018-07-01,82
2018-08-01,158
2018-09-01,5
2018-10-01,1
2018-11-01,5
2019-01-01,1
2019-03-01,8
2019-04-01,7
2019-05-01,5
2019-06-01,126
2019-07-01,368
2019-08-01,870
2019-09-01,113
2019-10-01,100
2019-11-01,23
2019-12-01,114
2020-01-01,338
2020-02-01,81
2020-03-01,127
2020-04-01,59
2020-05-01,378
2020-06-01,218
2020-07-01,97
2020-08-01,127
2020-09-01,584
2020-10-01,575
2020-11-01,385
2020-12-01,246
2021-01-01,452
2021-02-01,147
2021-03-01,101
2021-04-01,616
2021-05-01,16832
2021-06-01,4196
2021-07-01,6903
2021-08-01,4280
2021-09-01,8039
2021-10-01,12174
2021-11-01,27245
2021-12-01,24340
2022-01-01,12369
2022-02-01,8766
2022-03-01,29011
2022-04-01,7603
2022-05-01,12836
2022-06-01,10779
2022-07-01,26843
2022-08-01,13057
2022-09-01,14362
2022-10-01,21496
2022-11-01,28273
2022-12-01,25718
2023-01-01,42114
2023-02-01,29209
2023-03-01,35293
2023-04-01,37805
2023-05-01,44573
2023-06-01,45795
2023-07-01,52793
2023-08-01,89609
2023-09-01,78423
2023-10-01,86899
2023-11-01,94365
2023-12-01,101508
2024-01-01,92618
2024-02-01,70087
2024-03-01,139273
2024-04-01,143628
